question,link,images,answer,username,userlink
Why are only Hindus allowed inside some temples like the Puri Jagannath Temple Madurai Temple Tirupati etc.?,https://www.quora.com/Why-are-only-Hindus-allowed-inside-some-temples-like-the-Puri-Jagannath-Temple-Madurai-Temple-Tirupati-etc?no_redirect=1,https://qsf.cf2.quoracdn.net/-4-images.new_grid.profile_default.png-26-688c79556f251aa0.png | https://qph.cf2.quoracdn.net/main-qimg-1ee87e4294d1cd8560db4d0a7f1f0d18,"Why are only Hindus allowed inside some temples like the Puri Jagannath Temple Madurai Temple Tirupati etc.? This is one of the question that vexes society. In one sense I do not like non-Hindus to visit temples because their motive is not worship they come to gawk at what is exotic to them and take a flurry of pictures.  I was recently in Arunachala and there a group of women were lighting multiple lamps in a single plate and were doing aradhana at a shrine. Then comes along a white lady with her camera and start taking pictures the ladies got distracted and started posing for the camera to the end that the white women was directing them on how to stand to get the best light etc. And in the meantime bhava was lost. Who is to blame here? But then there is no guarantee that every Hindu who visits a temple has similar devotion. Nor is that all non-Hindus come to gawk as tourists. So it is a call the temples have to make there is no perfect solution to such.  In my opinion given my experience of Abrahamic religions where they think to pray to ""idols"" is bizarre and exotic. I rather fall on the other side of the line that they should not be allowed to visit the Shrines. A Hindu can visit a Church or a Mosque for a simple reason that a Hindu does not consider such a worship as pagan heathen or mushrik. The Hindu does not stand in judgement. But Abrahamics do stand in judgement upon other religions. I do not want to invite someone to my home knowing that their motives are thus. And I don't want my heritage to be gawked at or our practices - as though we are performing monkeys in a circus act. Sure there will be exceptions to this but it is near impossible to verify. So for now I think it is better policy to keep them away.  Be it USCIRF or people like Jeffery Kripal trusting them and giving them access has turned out to be a bad choice for us. For they end up demeaning what we value.  We should stop being suckers for the ""white person's opinion"" we are proud that they appreciate our art heritage etc. But every time this has lead to that particular art or custom being stripped of its dharmic moorings and marketed as a ""secularized"" exotic product and slowly appropriated. I know it is not intuitive for us to be suspicious. But it is better we learn from History.",Raghu Bhaskaran,https://www.quora.com/profile/Raghu-Bhaskaran
Do atheists hate God(s) / the concept of God(s)? Why?,https://www.quora.com/Do-atheists-hate-God-s-the-concept-of-God-s-Why,,It's silly to hate something that isn't there.It's even sillier to claim someone does so.,Noam Kaiser,https://www.quora.com/profile/Noam-Kaiser
Is Krishna or Rama (not Vishnu) mentioned anywhere in the Vedas?,https://www.quora.com/Is-Krishna-or-Rama-not-Vishnu-mentioned-anywhere-in-the-Vedas,,When it thought I want to become this creation billions of devatas created and by them that became this creation. Rama is not devata  he is Brahm or human like us. Bagavan Vishnu got positioned when the creation started get awakened. Hence he is called sarva yajna abhimani” mandukya upanishad. your name is not spelled in vedas. But you are here. You are heat content your name than spelled in vedas. So aham agnirmile Jatha Veda.,ना हांवे,https://www.quora.com/profile/%E0%A4%A8%E0%A4%BE-%E0%A4%B9%E0%A4%BE%E0%A4%82%E0%A4%B5%E0%A5%87
How many stairs exactly does the Kapilash Temple have?,https://www.quora.com/How-many-stairs-exactly-does-the-Kapilash-Temple-have,,As per record we know 1352 but as temple authority built new steps with time number of steps goes beyond that. I don’t know the exact stair numbers now as construction still going on at some places during riding to the top exact number will reach 1400 very soon.,Prasanta Sahoo,https://www.quora.com/profile/Prasanta-Sahoo-35
What is the spiritual meaning of yoga in the Vedas?,https://www.quora.com/What-is-the-spiritual-meaning-of-yoga-in-the-Vedas,,In summary yoga practice may improve various aspects of spiritual well-being and spiritual intelligence. Yoga practice may also be associated with increased levels of spiritual health a more positive outlook on life happiness within and lower levels of existential anxieties. It also increases the flexibility of the body and range of motion. Practicing yoga has been shown to improve one's ethical standards mindfulness self-discipline and spiritual practices withdrawal from the senses concentration meditation and immersion into calmness or a state of ecstasy. (What’s your personality type?) Take a test with us today. If you find our answer relevant please up vote for it! If you’re still finding an answer to your problems you can always visit at Z-edge Counselling firm. Z-Edge is a Nagpur based counselling center that would perfectly fit into our description. They have dimensional analysis that would take into consideration every emotional behavioural ment...Access this answer and support the author as a Quora+ subscriberAccess all answers reserved by Renu Daga for Quora+ subscribersAccess exclusive answers from thousands more participating creators in Quora+Browse ad‑free and support creatorsStart free trialLearn more,Renu Daga,https://www.quora.com/profile/Renu-Daga-13
Who are Pathans and how are they different from other Muslims?,https://www.quora.com/Who-are-Pathans-and-how-are-they-different-from-other-Muslims,,‘Pathans’ are an ethnic group from the Pashto-speaking region of Afghanistan and North-Western region of Pakistan. Pathans can be Muslims Hindus or Sikhs though an overwhelming majority is Muslim. The legendary actor Prithviraj Kapoor family identifies itself as ‘Hindu Pathan’. Their ancestors spoke Pashto and lived in Peshawar one of the largest concentrations of Pathans. To many Indians they are Punjabis which they aren’t. A Muslim is any follower of the religion Islam. He/she can belong to any ethnicity or race. Majority of Arabs and Turks are Muslims but there are also Christians among Continue Reading‘Pathans’ are an ethnic group from the Pashto-speaking region of Afghanistan and North-Western region of Pakistan. Pathans can be Muslims Hindus or Sikhs though an overwhelming majority is Muslim. The legendary actor Prithviraj Kapoor family identifies itself as ‘Hindu Pathan’. Their ancestors spoke Pashto and lived in Peshawar one of the largest concentrations of Pathans. To many Indians they are Punjabis which they aren’t. A Muslim is any follower of the religion Islam. He/she can belong to any ethnicity or race. Majority of Arabs and Turks are Muslims but there are also Christians among them.,Liaquat Khan,https://www.quora.com/profile/Liaquat-Khan-2
How many temples are there in India and which one is your favorite?,https://www.quora.com/How-many-temples-are-there-in-India-and-which-one-is-your-favorite,https://qph.cf2.quoracdn.net/main-qimg-c914b790217197c54cf31ef872f2600c-pjlq | https://qph.cf2.quoracdn.net/main-qimg-b34114d81b4091e0370087436c659294-lq | https://qph.cf2.quoracdn.net/main-qimg-fe1352f5e1c961032ddcc91b451f9144-lq,There was an attempt to count the temples in India during the 2001 census but it was not very precise. When the count passed two million they stopped there and just said “over two million”. This would give a figure of about one temple for every 483 Hindus in India (not counting the Sikh Jain and Buddhist temples but those together are less than 1% of temples in India). To me that number sounds low. Going by my personal experience I would guess a higher ratio of temples : Hindus. I suspect the real number of temples is larger and that a lot of small village and neighborhood temples withoContinue ReadingThere was an attempt to count the temples in India during the 2001 census but it was not very precise. When the count passed two million they stopped there and just said “over two million”. This would give a figure of about one temple for every 483 Hindus in India (not counting the Sikh Jain and Buddhist temples but those together are less than 1% of temples in India). To me that number sounds low. Going by my personal experience I would guess a higher ratio of temples : Hindus. I suspect the real number of temples is larger and that a lot of small village and neighborhood temples without officially organized registered management did not get counted. I’m sure they didn’t miss any big temples like this:But did they really track down all the little remote rural temples like this?So the most accurate answer that can be given is more than two million. I would not be surprised if the real number is three or four million. Given this it feels rather unfair to pick a favorite. I have probably visited more than a hundred temples in India but less than three hundred. That feels like a lot but it’s nothing compared to the millions of temples out there many of which I’m sure are wonderful and probably surpassing any I’ve seen. So my favorite of the temples that I personally have been to is Badrinath Temple.,Devala Rees,https://www.quora.com/profile/Devala-Rees
Did Adi Shankaracharya order to kill Buddhists and destroy their monasteries?,https://www.quora.com/Did-Adi-Shankaracharya-order-to-kill-Buddhists-and-destroy-their-monasteries,,"It is totally untrue. This is a blatant lie perpetuated by some mean minded anti-Hindu secularists and leftists. Where is the evidence for such claims? What king or emperor was at Adishankara’s command that he could order the killing of Buddhists and destroy their monasteries? How could a lone mendicant travelling with not more than four disciples have brought that about? Moreover why would a compassionate being like Adishankara do so? As opposed to such views Shankara’s imminent task was chiefly to bring the diverse and inconsistent philosophical systems within Hindusim into the fold of VedanContinue ReadingIt is totally untrue. This is a blatant lie perpetuated by some mean minded anti-Hindu secularists and leftists. Where is the evidence for such claims? What king or emperor was at Adishankara’s command that he could order the killing of Buddhists and destroy their monasteries? How could a lone mendicant travelling with not more than four disciples have brought that about? Moreover why would a compassionate being like Adishankara do so? As opposed to such views Shankara’s imminent task was chiefly to bring the diverse and inconsistent philosophical systems within Hindusim into the fold of Vedanta and not to fight those beyond the scope of Vedic religion. The challenges of his times were more internal than external. While it is true that he has refuted Buddhist tenets in his Brahmasutrabhashya where is the proof that he held debates with the Buddhists and worst of all ordered them to be killed? If at all Shankara did hold a debate with Buddhist scholars and defeated them those scholars would have followed Vedanta as this was the norm in those days. Buddhism in India was wiped out because of Islamic Invaders. Dr. BR Ambedkar in his work ‘The decline and fall of Buddhism’ has made this fact amply clear. He saysThere can be no doubt that the fall of Buddhism in India was due to the invasions of the Musalmans. Islam came out as the enemy of the 'But'. The word 'But' as everybody knows is the Arabic word and means an idol. Thus the origin of the word indicates that in the Moslem mind idol worship had come to be identified with the Religion of the Buddha. To the Muslims they were one and the same thing. The mission to break the idols thus became the mission to destroy Buddhism. Islam destroyed Buddhism not only in India but wherever it went. Before Islam came into being Buddhism was the religion of Bactria Parthia Afghanistan Gandhar and Chinese Turkestan as it was of the whole of Asia. . .The Mussalman invaders sacked the Buddhist universities of Nalanda Vikramshila Jagaddala Odantapuri to name only a few. They razed to the ground Buddhist monasteries with which the country was studded. The monks fled away in thousands to Nepal Tibet and other places outside India. A very large number were killed outright by the Muslim commanders. How the Buddhist priesthood perished by the sword of the Muslim invaders has been recorded by the Muslim historians themselves. Summarizing the evidence relating to the slaughter of the Buddhist Monks perpetrated by the Musalman General in the course of his invasion of Bihar in 1197 AD Mr. Vincent Smith says ""....Great quantities of plunder were obtained and the slaughter of the 'shaven headed Brahmans' that is to say the Buddhist monks was so thoroughly completed that when the victor sought for someone capable of explaining the contents of the books in the libraries of the monasteries not a living man could be found who was able to read them. 'It was discovered' we are told 'that the whole of that fortress and city was a college and in the Hindi tongue they call a college Bihar.' ""Such was the slaughter of the Buddhist priesthood perpetrated by the Islamic invaders. The axe was struck at the very root. For by killing the Buddhist priesthood Islam killed Buddhism. This was the greatest disaster that befell the religion of the Buddha in India..Scholars and authors like KS Lal Koenrad Elst Sita Ram Goel and others have made it clear that Islam was the reason why Buddhism was wiped out not only in India but from the entire Asian region between Iran and Malaysia. The fact is that it has not stopped yet as is evidenced by the Taliban blasting of Bamiyan Buddhas in Afghanistan.Also as Prof Elst cites in his writings as late as 2002 there have been incidents in Kargil to convert Buddhists into Islam. It's continuing and there have been clashes between the Buddhists of Ladakh and the Muslims of Kashmir.[1] The propaganda that Adishankara ‘ordered’ the killing of Buddhists and destroying of their monasteries is a ridiculous heinous myth. It is a clever misdirection to discredit Hindus for the acts of someone else.Footnotes[1] Ladakh tense over Muslim-Buddhist ‘love jihad’ marriage - Times of India",Kratu Nandan,https://www.quora.com/profile/Kratu-Nandan
Does Mahadev fulfills his devotees Love Wishes? What I need to do to Please Mahadev to grant my Wish?,https://www.quora.com/Does-Mahadev-fulfills-his-devotees-Love-Wishes-What-I-need-to-do-to-Please-Mahadev-to-grant-my-Wish,https://qph.cf2.quoracdn.net/main-qimg-f9e83e6b1ccca65f66cdb9151dc14711-lq,When i was novice on the spiritual path like most of new devotees i start worshipping lord shiva for material things i can explain you it with my example sorry you have to tolerate this answer to understand how god works Few are the wishes i asked from himI wanted admission in good college away from home in rajasthan romantic novels currupted my mind and i wanted to have a good college love story like those nobels i prayed day and night but in the end i got a government college 20 km away from my house it was affiliated to UP government i had ego of CBSE guy mahadev crushed my ego merContinue ReadingWhen i was novice on the spiritual path like most of new devotees i start worshipping lord shiva for material things i can explain you it with my example sorry you have to tolerate this answer to understand how god works Few are the wishes i asked from himI wanted admission in good college away from home in rajasthan romantic novels currupted my mind and i wanted to have a good college love story like those nobels i prayed day and night but in the end i got a government college 20 km away from my house it was affiliated to UP government i had ego of CBSE guy mahadev crushed my ego mercilesslyI wanted a perfect girlfriend ( all thanks to those novels again 😂 ) as most of my friends were in relationship i prayed on suger coated words “ mahadev you you give me good girlfriend i will love you more as i would be more happy” 😂😂Except these two wishes i didn't asked anything from him and he didn't fulfil any of them i even abused him for this ( immature devotion phase )I got college i settled in the town where i got college i was alone there i fell in severe depression i got pimples people used to ignore me friends used to make fun of me that was most tough phase of my life but i am thankful for that phase which brought me closer to lord shiva and lesson learned that here people just respect your achievement only lord stays had i been in my desired college i would never have been learned this lesson 😊 i got plenty of time to spend with mhadev due to my loneliness and it strengthen my bondSecond was girlfriend if i would had been fall in lust like most of the guys the might have never experienced the purity of true divine love because mahadev and lust are two different poles now when i observe people i know perfect girlfriend do not exist now i have more acceptance once a guy with lust in mind ( not that much lust) is turned into a guy filled with divine love and gratitude 😊Due to all these things happend with me So the conclusion is god never fulfil your wishes he fulfil your requirement as there is no end of wishes after completing one human will ask second wish god prepares you for bigger cause for your ultimate salvation because this world is illusion and so are our wishesI bow to lotues feets of lord shiva who took care me like a father and showered his love upom me i am indebted 😊 Thank you har har mahadev,Priyanshu Upadhyay,https://www.quora.com/profile/Priyanshu-Upadhyay-4
How did Lord Jagannath come to Puri?,https://www.quora.com/How-did-Lord-Jagannath-come-to-Puri,,"ow Did Lord Jagannath Come Into Existence! Mon Jun 12 2017 The creator of existence and the father behind all happenings has a miraculous story associated with his introduction to the world. His presence can still be felt if you go to Lord Jagannath Temple of Puri with all the devotion and dedication. Jagannath Temple of Puri is said to be one among the 4 most sacred places in the world. Before you head towards the real abode of God understand the real story behind his presence. This will for sure take your soul closer to the Lord and help you attain eternal bliss. The wish of King Indradyumna TContinue Readingow Did Lord Jagannath Come Into Existence! Mon Jun 12 2017 The creator of existence and the father behind all happenings has a miraculous story associated with his introduction to the world. His presence can still be felt if you go to Lord Jagannath Temple of Puri with all the devotion and dedication. Jagannath Temple of Puri is said to be one among the 4 most sacred places in the world. Before you head towards the real abode of God understand the real story behind his presence. This will for sure take your soul closer to the Lord and help you attain eternal bliss. The wish of King Indradyumna The devotion of the great King made him feel the power which has no boundaries – the power of Lord Jagannath! King Indradyumna was a great devotee of Lord Vishnu and was eager to meet him face to face. Once a brahmana came to the palace of the King Indrayumna and told him about an incarnation of Lord Vishnu named Nila Madhava. The king then sent different brahmana’s out to search for Lord Nila Madhava. They all returned unsuccessful except a priest named Vidyapati. The discovery by Vidyapati After traveling for a while Vidyapati came to an area inhabited by non-Aryans called sabaras. He stayed at the house of a local chief called Visvavasu. When he arrived Visvavasu was not there but his daughter Lalita was. Vidyapati stayed there for some time and eventually married Lalita the daughter of the Sabara. Vidyapati noticed some peculiar behavior of his host. Visvavasu would go out every day around noon and would return back to the house scented with fragrances of sandalwood camphor and musk. Vidyapati asked his wife about this and she informed him that his father would go daily to worship Nila Madhava. Lalita had been told by her father not to tell anyone about Nila Madhava but she had overstepped that order by telling her husband. Vidyapati repeatedly requested to see Nila Madhava. The sight of Nila Madhava Finally Visvavasu bound Vidyapati’s eyes and took him to see Nila Madhava. Vidyapati secretly carried some mustard seeds in his cloth and he dropped them onto the path as he was walking. When he reached Nila Madhava the blindfold was removed and Vidyapati saw Nila Madhava. Visvavasu went out to collect some forest flowers to worship and Vidyapati stayed near the Deity. During this time a crow fell off the branch of a tree into a nearby lake and drowned. It immediately took a four armed Vaikuntha form and started back to the spiritual world. Vidyapati then climbed up onto the tree and was about to jump into the lake. A voice came from the sky and said: ""Since you have seen Nila Madhava you should inform King Indradyumna."" The hurting wish of Lord Vishnu Visvavasu returned and started his daily worship of Nila Madhava. Suddenly the Lord spoke to him and said ""I have accepted for many days the simple forest flowers and roots offered to me by you. Now I desire the royal worship offered to me in devotion by King Indradyumna."" Visvavasu felt cheated by his son-in-law; therefore he bound him up and kept in his house. After repeatedly being requested by his daughter he let him go. The brahmana then went to King Indradyumna and told him about his discovery. By following the mustard seeds which had grown into small plants they were able to follow the path to Nila Madhava. When they reached the spot they could not find him. King Indradyumna had the village besieged and arrested Visvavasu. Suddenly a voice came from the sky “Release this sabara. On top of Nila hill you should construct a temple. There I will manifest as Daru-brahman (the Absolute Truth manifested in a wooden form). You will not see me as Nila Madhava.",Pratik Awsarmol,https://www.quora.com/profile/Pratik-Awsarmol
