question,link,images,answer,username,userlink
RelatedWhat are some famous places in Vrindavan?,https://www.quora.com/What-are-some-famous-places-in-Vrindavan,,I’d suggest you don’t go to Vrindavan as a tourist but as a seeker. The land of Vrindavan has got the sweetness in every step - just look beyond the material clutter which present-day conditions have created. As for your question Shri Bankey Bihari Temple and Sri Sri Krishna Balarama Mandir (ISKCON - Vrindavan) are undoubtedly two of the most famous places. But apart from it here’s a list: Shri Radha Raman temple (self-manifested deity from almost 500 years back!) Shri Radha Madan-mohan temple (this is protected by the ASI) Shri Radha Damodar temple Shri Radha Shyamsundar temple Imlitala Keshi Ghat Nidhivan Chir Ghat Shri Rang ji temple Shahji temple Shri Radha Gopinath temple Gopeshwar Mahadev temple Vamsivat Shringarvat These are only few of the places you can go to in Vrindavan. If you look up Gaudiya Vaishnavism you’ll see the significance of few of the temples mentioned above. There’s a short movie set in Vrindavan called Reconnection. Would highly recommend watching it. It has won several awards and nominations worldwide. Here’s the link :,Radhika Sachdeva,https://www.quora.com/profile/Radhika-Sachdeva-2
RelatedWho should read Bhagavad Gita?,https://www.quora.com/Who-should-read-Bhagavad-Gita,,Following people are necessarily should read bhagawat gita.1.The young- How to live life2.The old- To know how to die3.The ignorant- For wisdom4.The learned- For humility5. The rich- For compassion6. The dreamer- For enchanment7. The practical- For counsel8.The weak- For strength9.The strength- For direction10.The humble- For exaltation11.The weary- For rest12.The troubled- For peace13.The doubting- For assurance14. The sinner- For salvation15.The seeker- For moksha16.The human- For guidance somewhere I found this on facebook,Subramanian Velusamy,https://www.quora.com/profile/Subramanian-Velusamy
"RelatedWho built the ""Ranakdevi Temple""?",https://www.quora.com/Who-built-the-Ranakdevi-Temple,https://qsf.cf2.quoracdn.net/-4-images.new_grid.profile_default.png-26-688c79556f251aa0.png | https://qph.cf2.quoracdn.net/main-qimg-a424af834e01a51f7ce26309c0cb19e9,Ranakdevi Temple belonging to the tenth century temples is situated at Wadhwan in Surendranagar District of Gujarat. This beautifully decorated temple consits of a complete fledged Shikhara a sanctum and a porch. It has sculptured niches at the cardinal offsets with easy design. The temple is connected with a famous tale of Sati Ranakdevi and the extraordinary Solanki ruler Siddhraj Jaisinh. Ranakdevi devoted Sati at this area to guard her honour when Siddhraj Jaisinh murdered her husband Ra Khengar and her two sons. Wadhwan is located on the banks of Bhogavo River. two historic step wells within the metropolis - the Madha Vav (built in 1294) and the Ganga Vav (constructed in 1169) are great examples of subterranean architecture standard of Gujarat.,Rudra,https://www.quora.com/profile/Rudra-419
If the universe was created by Shiv and Shakti because Shakti represents energy then what would Shiv symbolise?,https://www.quora.com/If-the-universe-was-created-by-Shiv-and-Shakti-because-Shakti-represents-energy-then-what-would-Shiv-symbolise,https://qph.cf2.quoracdn.net/main-qimg-262dc8a234115321ca4fadc0d041c2be-lq,A movie consist of three things.A preferably wide angled blank screen.Projected lightSound.If any of these is lacking it would not be complete. So Shakti (energy) is the light and the sound and the images and actions that are perceived. The screen backdrop which no one perceives is Shiva. So in terms of the Universe - the matter/energy of the perceptible universe is termed as SHAKTI and the Universal consciousness that pervades the entire universe and from which energy arises is SHIVA. In iconography this symbiotic concept is represented by KĀLI (personification of time-space) standing on the proContinue ReadingA movie consist of three things.A preferably wide angled blank screen.Projected lightSound.If any of these is lacking it would not be complete. So Shakti (energy) is the light and the sound and the images and actions that are perceived. The screen backdrop which no one perceives is Shiva. So in terms of the Universe - the matter/energy of the perceptible universe is termed as SHAKTI and the Universal consciousness that pervades the entire universe and from which energy arises is SHIVA. In iconography this symbiotic concept is represented by KĀLI (personification of time-space) standing on the prostrate form of Lord Shiva (Pure universal consciousness).,Rami Sivan,https://www.quora.com/profile/Rami-Sivan
RelatedIf salvation/Moksha attainment of God is the ultimate aim of life otherwise one has to take birth again and again then who are the people of Ramayana and mahabharta who got salvation who didn't and who have taken birth again?,https://www.quora.com/If-salvation-Moksha-attainment-of-God-is-the-ultimate-aim-of-life-otherwise-one-has-to-take-birth-again-and-again-then-who-are-the-people-of-Ramayana-and-mahabharta-who-got-salvation-who-didnt-and-who-have-taken,,From ramayan only shabri and Raven got salvation because he knew everything (we never heard about anyone else only shabri and Raven got salvation ) From Mahabharat only Khatu shyam (I forgot second name) and veda Vyas got salvation . Pandav were son of deva hence they went to the heaven  kaurav were in the heaven most of them were in the heaven but none of them got salivation . According to my knowledge,Paradox,https://www.quora.com/profile/Paradox-478
RelatedWhat are Mana (mind) Buddhi and Atma (soul) per Gita and their roles?,https://www.quora.com/What-are-Mana-mind-Buddhi-and-Atma-soul-per-Gita-and-their-roles,,Comparison of Mind Intelligence Ego and Soul Mind(Mana) Intelligence(Buddhi) and Ego(Ahankar) are subtle material elements. Soul is spiritual element. Gita 7.4 says bhumir apo 'nalo vayuhkham mano buddhir eva caahankara itiyam mebhinna prakrtir astadha Earth water fire air ether mind intelligence and false ego—altogether these eight comprise My separated material energies. Mind is superior to other senses Intelligence(Buddhi) is finer and superior to Mind and Ego(Ahankar) is superior to Intelligence and Soul is Finest and Superior to material energy. as said in Bhagavad Gita 3.42 indriyāContinue ReadingComparison of Mind Intelligence Ego and Soul Mind(Mana) Intelligence(Buddhi) and Ego(Ahankar) are subtle material elements. Soul is spiritual element. Gita 7.4 says bhumir apo 'nalo vayuhkham mano buddhir eva caahankara itiyam mebhinna prakrtir astadha Earth water fire air ether mind intelligence and false ego—altogether these eight comprise My separated material energies. Mind is superior to other senses Intelligence(Buddhi) is finer and superior to Mind and Ego(Ahankar) is superior to Intelligence and Soul is Finest and Superior to material energy. as said in Bhagavad Gita 3.42 indriyāṇi parāṇy āhurindriyebhyaḥ paraṁ manaḥmanasas tu parā buddhiryo buddheḥ paratas tu saḥ The working senses are superior to dull matter; mind is higher than the senses; intelligence is still higher than the mind; and he [the soul] is even higher than the intelligence. Soul is also called marginal energy and is superior to material energy as said in Bhagavad Gita 7.5 apareyam itas tv anyamprakrtim viddhi me paramjiva-bhutam maha-bahoyayedam dharyate jagat Besides this inferior nature O mighty-armed Arjuna there is a superior energy of Mine which are all living entities who are struggling with material nature and are sustaining the universe. Roles Mind: Mind is master of all senses most notorious and very difficult to control. Arjuna said to Krishna Gita 6.34 cancalam hi manah krsnapramathi balavad drdhamtasyaham nigraham manyevayor iva su-duskaram For the mind is restless turbulent obstinate and very strong O Krsna and to subdue it is it seems to me more difficult than controlling the wind. But mind can be best friend when it is controlled Bhagavad Gita 6.6 says bandhur ātmātmanas tasyayenātmaivātmanā jitaḥanātmanas tu śatrutvevartetātmaiva śatru-vat For him who has conquered the mind the mind is the best of friends; but for one who has failed to do so his mind will remain the greatest enemy. Intelligence: Intelligence is weapon to control mind Bhagavad Gita 6.35 asaṁśayaṁ mahā-bāhomano durnigrahaṁ calamabhyāsena tu kaunteyavairāgyeṇa ca gṛhyate Lord Śrī Kṛṣṇa said: O mighty-armed son of Kuntī it is undoubtedly very difﬁcult to curb the restless mind but it is possible by suitable practice and by detachment. Intelligent men try to control mind by use of intelligence. Ego: Identity of a living entity. In material world identity is false. It is not identity of soul and hence not permanent. Soul: Spiritual spark and real identity of living entity. Please read other answers for properties of soul. Hope this clarifies Thanks,Nitesh Gupta,https://www.quora.com/profile/Nitesh-Gupta-9
vibrate out of this ocean come the various celestial systems suns,,,,,
According to the Bhagavad Gita who has more importance a person's parents or guests?,https://www.quora.com/According-to-the-Bhagavad-Gita-who-has-more-importance-a-persons-parents-or-guests,https://qsf.cf2.quoracdn.net/-4-images.new_grid.profile_default.png-26-688c79556f251aa0.png,According to Bhagavad gita KNOWLEDGE is the key to progress on both material and spiritual levels. Service to one's parents and to guests is mainly based on the fact that both your elders and saintly visiting sadhus can bless you with valuable knowledge. In Vedic culture and society elderly parents remained at home only if unable to fulfill the requirements of vanaprastha and sannyasa generally because of frail health but lived a retired life of austerity and meditation. Travelers who went to take shelter in the house of grihasthis were generally pilgrims or itinerant (parivrajaka) sadhus. Continue ReadingAccording to Bhagavad gita KNOWLEDGE is the key to progress on both material and spiritual levels. Service to one's parents and to guests is mainly based on the fact that both your elders and saintly visiting sadhus can bless you with valuable knowledge. In Vedic culture and society elderly parents remained at home only if unable to fulfill the requirements of vanaprastha and sannyasa generally because of frail health but lived a retired life of austerity and meditation. Travelers who went to take shelter in the house of grihasthis were generally pilgrims or itinerant (parivrajaka) sadhus. On the other hand wealthy tourists and merchants traveled in self sufficient caravans not unlike modern day campers. Of course if your biological parents or elders happen to be senile and degraded criminals who have no sense of ethics or morality any type of guest and even any other decent person will be more deserving of your service. Similarly if you happen to be visited by some arrogant and ignorant fool who wants to exploit your good will to easily get free accommodation and food without any trace of reciprocation you should certainly prefer to offer service to your own parents even if they are not exactly perfect people. Another aspect of the issue is that both one's parents and visiting guests are usually in need of assistance because they are not self sufficient for some reason. In that case if you need to choose you should give priority to those whose need is greater. But I don't see why you can't give service to both categories equally.,Parama Devi,https://www.quora.com/profile/Parama-Devi
RelatedHow do we know that we are in Kaliyug?,https://www.quora.com/How-do-we-know-that-we-are-in-Kaliyug,https://qsf.cf2.quoracdn.net/-4-images.new_grid.profile_default.png-26-688c79556f251aa0.png,"Read my answer you will satisfied that you are in real Kaliyug.  Once the four Pandavas (except Yudhishthira who was not present) asked Krishna: ""What is Kaliyuga and what will happen during Kaliyuga?"" Krishna smiled and said ""Let me demonstrate to you the situation of Kaliyuga."" He took a bow and four arrows and shot them in four directions and ordered the four Pandavas to go and bring them back. Each of the four Pandavas went in the four different directions to search for the arrows. When Arjuna picked an arrow he heard a very sweet voice. He turned around and saw a cuckoo singing in a spellbinding voice but was also eating flesh of a live rabbit which was in great pain. Arjuna was very surprised to see such a gory act by such a divine bird he left the place immediately. Bhima picked arrow from a place where five wells were situated. The four wells were surrounding a single well. The four wells were overflowing with very sweet water as if they were not able to hold water and surprisingly the well in the middle of these four overflowing wells was completely empty. Bhima was also puzzled at this sight. Nakula was returning to the place after picking up the arrow. He stopped at a place where a cow was about to give birth. After giving birth the cow started licking the calf but continued to lick it even after the calf was clean. With great difficulty people were able to separate them and by that time the calf was injured badly. Nakula was puzzled by the behaviour of such a calm animal. Sahadeva picked arrow which fell near a mountain and saw a big boulder falling. The boulder was crushing the rocks and big trees on its way down but the same boulder was stopped by a small plant. Sahadeva was also amazed at this sight. All the Pandavas asked the meaning of these incidents. Krishna smiled and started explaining... ""In Kaliyuga the priests w...Access this answer and support the author as a Quora+ subscriberAccess all answers reserved by Olivia Miller for Quora+ subscribersAccess exclusive answers from thousands more participating creators in Quora+Browse ad‑free and support creatorsStart free trialLearn more",Olivia Miller,https://www.quora.com/profile/Olivia-Miller-471
RelatedWhat will happen if Hindus convert to Islam until 2050?,https://www.quora.com/What-will-happen-if-Hindus-convert-to-Islam-until-2050,,Hindus have not converted in a 1000 years. It is not probable that they will convert in 40 years. Hindus have a long intellectual tradition and whenever under threat they defend themselves. And as India progress so will these institutions. Also remember the world citizens are getting away from faith based religions. Just believing on Gods are not enough. Here Hinduism has an advantage as it is not a religion of believing. It can evolve has a long scientific tradition has a tradition of enquiry and it is Dharma based nor God based. That is why there is a rise in spirituality. Its up to thContinue ReadingHindus have not converted in a 1000 years. It is not probable that they will convert in 40 years. Hindus have a long intellectual tradition and whenever under threat they defend themselves. And as India progress so will these institutions. Also remember the world citizens are getting away from faith based religions. Just believing on Gods are not enough. Here Hinduism has an advantage as it is not a religion of believing. It can evolve has a long scientific tradition has a tradition of enquiry and it is Dharma based nor God based. That is why there is a rise in spirituality. Its up to the Gurus to initiate them into the tradition. It also accepts atheists and has an atheistic tradition as well. So Hinduism is the Indian civilisation and it will grow rather than die. People in Europe have mostly turn atheistic and turning to eastern spiritual science. Hinduism is a growing base in Europe. Now it is important to make sure that Hindu concepts do not get distorted and here is where the intellectual scholars come into action.,Sanchayan Sarkar,https://www.quora.com/profile/Sanchayan-Sarkar-1
